latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-16.19346,33.84056,312.04,0.57,0.52,2026-04-30,2235,SNPP,SNPP,n,2.0NRT,293.31,1.45,N
-16.19928,33.84486,303.51,0.57,0.52,2026-04-30,2235,SNPP,SNPP,n,2.0NRT,292.36,1.74,N
-16.11767,33.76084,303.64,0.58,0.52,2026-04-30,2235,SNPP,SNPP,n,2.0NRT,292.58,1.59,N
-16.19452,33.84596,304.29,0.57,0.52,2026-04-30,2235,SNPP,SNPP,n,2.0NRT,292.03,1.45,N
-16.19822,33.83946,306.2,0.57,0.52,2026-04-30,2235,SNPP,SNPP,n,2.0NRT,292.8,1.74,N
-13.6557,38.86711,302.18,0.47,0.4,2026-04-30,2235,SNPP,SNPP,n,2.0NRT,290.7,0.3,N
-16.12359,33.76532,304.84,0.58,0.52,2026-04-30,2235,SNPP,SNPP,n,2.0NRT,293,2.99,N
-16.11944,33.76196,310.36,0.58,0.52,2026-04-30,2235,SNPP,SNPP,n,2.0NRT,293.31,2.73,N
-21.74754,35.0599,302.18,0.38,0.43,2026-04-30,2237,SNPP,SNPP,n,2.0NRT,291.3,0.67,N
-24.15963,35.42447,329.49,0.38,0.43,2026-05-01,1106,SNPP,SNPP,n,2.0NRT,300.93,1.1,D
-22.78508,35.39306,327.79,0.56,0.43,2026-05-01,1106,SNPP,SNPP,n,2.0NRT,299.6,3.43,D
-16.65016,35.26542,332.09,0.48,0.4,2026-05-01,1108,SNPP,SNPP,n,2.0NRT,299.3,5.19,D
-16.74286,34.40971,335.65,0.54,0.42,2026-05-01,1108,SNPP,SNPP,n,2.0NRT,300.38,5.55,D
-16.74287,34.4079,334.25,0.53,0.42,2026-05-01,1108,SNPP,SNPP,n,2.0NRT,300.1,2.99,D
-16.03813,36.80694,330.76,0.41,0.37,2026-05-01,1108,SNPP,SNPP,n,2.0NRT,299.17,3.55,D
-16.49071,32.97178,341.76,0.43,0.46,2026-05-01,1108,SNPP,SNPP,n,2.0NRT,302.66,8.62,D
-16.49123,32.96772,335.53,0.43,0.46,2026-05-01,1108,SNPP,SNPP,n,2.0NRT,302.51,4.89,D
-14.19079,38.33847,334.54,0.38,0.36,2026-05-01,1108,SNPP,SNPP,n,2.0NRT,298.89,3.03,D
-14.36409,37.11589,338.07,0.4,0.37,2026-05-01,1108,SNPP,SNPP,n,2.0NRT,304.79,4.83,D
-16.61504,36.86198,346.46,0.41,0.37,2026-05-01,1108,SNPP,SNPP,n,2.0NRT,304.82,5.94,D
-16.7093,35.48373,329.86,0.47,0.4,2026-05-01,1108,SNPP,SNPP,n,2.0NRT,300.33,2.99,D
-17.04582,34.6447,337.35,0.52,0.42,2026-05-01,1108,SNPP,SNPP,n,2.0NRT,298.91,4.93,D
-17.06009,35.35608,329.84,0.48,0.4,2026-05-01,1108,SNPP,SNPP,n,2.0NRT,298.02,4.2,D
-16.11942,33.75945,306.74,0.58,0.7,2026-05-01,2218,SNPP,SNPP,n,2.0NRT,291.21,3.76,N
-16.1202,33.76094,308.19,0.58,0.7,2026-05-01,2218,SNPP,SNPP,n,2.0NRT,290.91,3.63,N
-16.19169,33.84122,306.61,0.57,0.69,2026-05-01,2218,SNPP,SNPP,n,2.0NRT,290.67,1.97,N
-16.19802,33.83946,307.11,0.57,0.69,2026-05-01,2218,SNPP,SNPP,n,2.0NRT,290.5,1.97,N
-16.13199,33.76905,304.75,0.59,0.7,2026-05-01,2358,SNPP,SNPP,n,2.0NRT,289.73,2.69,N
-16.13348,33.7172,302.41,0.59,0.7,2026-05-01,2358,SNPP,SNPP,n,2.0NRT,290.61,1.86,N
-18.60767,36.4573,344.22,0.55,0.51,2026-05-02,1047,SNPP,SNPP,n,2.0NRT,296.46,6.23,D
-19.00938,34.11625,328.31,0.4,0.6,2026-05-02,1047,SNPP,SNPP,n,2.0NRT,297.46,2.54,D
-23.02139,35.51872,333.72,0.36,0.57,2026-05-02,1047,SNPP,SNPP,n,2.0NRT,296.56,1.73,D
-22.9307,35.5303,339.73,0.36,0.57,2026-05-02,1047,SNPP,SNPP,n,2.0NRT,296.95,2.51,D
-17.35524,35.22381,335.37,0.32,0.55,2026-05-02,1047,SNPP,SNPP,n,2.0NRT,294.3,2.96,D
-22.21951,35.47038,346.99,0.35,0.57,2026-05-02,1047,SNPP,SNPP,n,2.0NRT,296.01,2.62,D
-16.66052,36.1025,340.08,0.55,0.51,2026-05-02,1049,SNPP,SNPP,n,2.0NRT,294.61,6.1,D
-16.8553,34.42509,330.35,0.36,0.57,2026-05-02,1049,SNPP,SNPP,n,2.0NRT,295.27,4.58,D
-16.85568,34.42174,343.39,0.36,0.57,2026-05-02,1049,SNPP,SNPP,n,2.0NRT,295.64,5.98,D
-16.78153,34.70304,332.07,0.34,0.56,2026-05-02,1049,SNPP,SNPP,n,2.0NRT,293.5,3.2,D
-16.75802,34.39372,332.93,0.36,0.57,2026-05-02,1049,SNPP,SNPP,n,2.0NRT,295.13,2.47,D
-16.41624,36.20415,330.57,0.54,0.51,2026-05-02,1049,SNPP,SNPP,n,2.0NRT,294.32,2.58,D
-16.22547,36.21734,341.7,0.53,0.5,2026-05-02,1049,SNPP,SNPP,n,2.0NRT,293.81,5.85,D
-16.12097,33.76371,330.32,0.39,0.59,2026-05-02,1049,SNPP,SNPP,n,2.0NRT,297.92,6.63,D
-15.2416,36.36581,353.04,0.51,0.49,2026-05-02,1049,SNPP,SNPP,n,2.0NRT,295.52,14.51,D
-14.6285,37.20336,329.16,0.44,0.46,2026-05-02,1049,SNPP,SNPP,n,2.0NRT,294.82,2.65,D
-14.62659,37.20376,333.12,0.44,0.46,2026-05-02,1049,SNPP,SNPP,n,2.0NRT,295.24,2.47,D
-13.18464,35.32835,327.01,0.56,0.51,2026-05-02,1049,SNPP,SNPP,n,2.0NRT,296.34,4.96,D
-16.79539,37.21222,333.88,0.47,0.48,2026-05-02,1049,SNPP,SNPP,n,2.0NRT,295.99,4.38,D
-16.96767,34.84303,331.54,0.34,0.56,2026-05-02,1049,SNPP,SNPP,n,2.0NRT,294.99,1.98,D
-17.07333,34.69663,337.08,0.34,0.56,2026-05-02,1049,SNPP,SNPP,n,2.0NRT,294.81,2.89,D
-17.07298,34.69989,344.43,0.34,0.56,2026-05-02,1049,SNPP,SNPP,n,2.0NRT,295.49,5.16,D
-16.66529,36.10302,331.7,0.55,0.51,2026-05-02,1049,SNPP,SNPP,n,2.0NRT,295.61,3.35,D
-15.07046,30.23352,355.84,0.55,0.68,2026-05-02,1229,SNPP,SNPP,n,2.0NRT,290.02,7.78,D
-15.07677,30.23491,331.07,0.55,0.68,2026-05-02,1229,SNPP,SNPP,n,2.0NRT,291.4,2.71,D
-15.07532,30.2352,347.75,0.55,0.68,2026-05-02,1229,SNPP,SNPP,n,2.0NRT,290.74,7.52,D
-15.674,30.65304,302.98,0.55,0.42,2026-05-02,2337,SNPP,SNPP,n,2.0NRT,289.68,0.6,N
-16.13334,33.76821,303.34,0.58,0.52,2026-05-02,2337,SNPP,SNPP,n,2.0NRT,291.13,2.64,N
-16.13233,33.71853,306.82,0.57,0.52,2026-05-02,2337,SNPP,SNPP,n,2.0NRT,292.15,3.26,N
-17.52694,34.17582,329.29,0.77,0.77,2026-05-03,1030,SNPP,SNPP,n,2.0NRT,286.53,12.14,D
-14.19858,38.09503,340.81,0.39,0.59,2026-05-03,1030,SNPP,SNPP,n,2.0NRT,295.97,6,D
-22.87364,35.2124,327.12,0.4,0.6,2026-05-03,1208,SNPP,SNPP,n,2.0NRT,295.06,2.2,D
-16.67683,35.35899,330.22,0.54,0.68,2026-05-03,1210,SNPP,SNPP,n,2.0NRT,290.92,4.96,D
-16.6812,32.79919,332.19,0.37,0.58,2026-05-03,1210,SNPP,SNPP,n,2.0NRT,295.98,2.85,D
-16.67215,35.32006,337.28,0.54,0.68,2026-05-03,1210,SNPP,SNPP,n,2.0NRT,291.28,5.27,D
-15.62506,32.50566,339.69,0.37,0.58,2026-05-03,1210,SNPP,SNPP,n,2.0NRT,297.26,3.95,D
-15.4613,32.72383,330.62,0.39,0.59,2026-05-03,1210,SNPP,SNPP,n,2.0NRT,294.24,1.48,D
-19.94502,33.06051,335.26,0.34,0.56,2026-05-03,1210,SNPP,SNPP,n,2.0NRT,295.85,4.12,D
-16.50155,36.4538,327.31,0.64,0.72,2026-05-03,1210,SNPP,SNPP,n,2.0NRT,291.46,2.6,D
-16.67541,35.31907,329.08,0.54,0.68,2026-05-03,1210,SNPP,SNPP,n,2.0NRT,291.5,3.87,D
-15.62411,32.50475,306.57,0.41,0.37,2026-05-03,2320,SNPP,SNPP,n,2.0NRT,293.38,2.25,N
-15.88962,33.02405,306.34,0.42,0.38,2026-05-03,2320,SNPP,SNPP,n,2.0NRT,292.65,0.64,N
-14.70539,31.67696,304.96,0.39,0.36,2026-05-03,2320,SNPP,SNPP,n,2.0NRT,289.17,0.43,N
-19.8045,33.03423,304.96,0.46,0.39,2026-05-03,2322,SNPP,SNPP,n,2.0NRT,287.9,1.22,N
-21.74916,35.05905,302.83,0.41,0.45,2026-05-03,2322,SNPP,SNPP,n,2.0NRT,291.87,0.9,N
-25.1438,33.62129,335.69,0.47,0.4,2026-05-04,1149,SNPP,SNPP,n,2.0NRT,300.13,7,D
-24.99978,33.18363,331.8,0.45,0.39,2026-05-04,1149,SNPP,SNPP,n,2.0NRT,298.56,4.37,D
-24.10455,35.23201,340.05,0.39,0.44,2026-05-04,1149,SNPP,SNPP,n,2.0NRT,298.35,3.53,D
-24.03099,35.04896,329.76,0.38,0.43,2026-05-04,1149,SNPP,SNPP,n,2.0NRT,297.35,2.24,D
-22.89259,35.2629,340.1,0.41,0.45,2026-05-04,1149,SNPP,SNPP,n,2.0NRT,297.02,3.04,D
-22.89202,35.26261,339.79,0.41,0.45,2026-05-04,1149,SNPP,SNPP,n,2.0NRT,297.26,4.05,D
-22.7716,35.30376,342.26,0.42,0.45,2026-05-04,1149,SNPP,SNPP,n,2.0NRT,295.18,4.9,D
-22.77094,35.3038,344.74,0.42,0.45,2026-05-04,1149,SNPP,SNPP,n,2.0NRT,296.3,4.69,D
-22.59699,35.48615,339.86,0.43,0.46,2026-05-04,1149,SNPP,SNPP,n,2.0NRT,298.52,7.27,D
-22.60345,35.45267,344.29,0.43,0.46,2026-05-04,1149,SNPP,SNPP,n,2.0NRT,298.82,5.42,D
-25.14612,33.62049,332.43,0.47,0.4,2026-05-04,1149,SNPP,SNPP,n,2.0NRT,299.5,3.88,D
-16.60225,32.97266,331.61,0.39,0.44,2026-05-04,1151,SNPP,SNPP,n,2.0NRT,293.48,2.66,D
-20.03112,33.34755,330.96,0.54,0.42,2026-05-04,1151,SNPP,SNPP,n,2.0NRT,299.04,14.07,D
-19.88533,33.30975,332.75,0.54,0.42,2026-05-04,1151,SNPP,SNPP,n,2.0NRT,300.44,7.59,D
-19.88586,33.30712,335.68,0.54,0.42,2026-05-04,1151,SNPP,SNPP,n,2.0NRT,300.73,12.78,D
-19.77775,33.10379,333.62,0.53,0.42,2026-05-04,1151,SNPP,SNPP,n,2.0NRT,297.82,3.68,D
-19.24044,34.77207,343.58,0.45,0.47,2026-05-04,1151,SNPP,SNPP,n,2.0NRT,299.72,17.36,D
-19.24124,34.76784,337.02,0.45,0.47,2026-05-04,1151,SNPP,SNPP,n,2.0NRT,297.89,8.84,D
-19.10024,33.41999,331.31,0.56,0.43,2026-05-04,1151,SNPP,SNPP,n,2.0NRT,297.96,2.27,D
-19.04158,33.19999,333.7,0.55,0.43,2026-05-04,1151,SNPP,SNPP,n,2.0NRT,301.04,5.39,D
-18.47561,34.34037,331.8,0.43,0.46,2026-05-04,1151,SNPP,SNPP,n,2.0NRT,301.77,5.22,D
-17.89035,35.02398,331.98,0.49,0.48,2026-05-04,1151,SNPP,SNPP,n,2.0NRT,296.95,3.41,D
-16.92678,36.57626,351.21,0.32,0.55,2026-05-04,1151,SNPP,SNPP,n,2.0NRT,297.65,4.87,D
-17.01995,34.70173,330.81,0.48,0.48,2026-05-04,1151,SNPP,SNPP,n,2.0NRT,297.79,2.99,D
-17.00748,34.7065,332.68,0.48,0.48,2026-05-04,1151,SNPP,SNPP,n,2.0NRT,298.38,3.35,D
-16.7247,35.32563,344.32,0.54,0.51,2026-05-04,1151,SNPP,SNPP,n,2.0NRT,301.1,5.66,D
-16.32654,36.924,330.27,0.35,0.56,2026-05-04,1151,SNPP,SNPP,n,2.0NRT,298.04,4.61,D
-16.63321,34.21692,331.66,0.46,0.47,2026-05-04,1151,SNPP,SNPP,n,2.0NRT,301.54,5.2,D
-16.07575,34.10856,337.64,0.46,0.47,2026-05-04,1151,SNPP,SNPP,n,2.0NRT,299.38,3.88,D
-15.4046,37.06956,343.8,0.37,0.58,2026-05-04,1151,SNPP,SNPP,n,2.0NRT,297.88,4.3,D
-15.07533,38.53494,329.42,0.46,0.64,2026-05-04,1151,SNPP,SNPP,n,2.0NRT,296.21,2.16,D
-15.77677,34.0883,341.84,0.47,0.47,2026-05-04,1151,SNPP,SNPP,n,2.0NRT,300.39,4.9,D
-15.12388,36.82701,334.17,0.36,0.57,2026-05-04,1151,SNPP,SNPP,n,2.0NRT,301.61,2.18,D
-15.69664,33.81672,344.88,0.45,0.47,2026-05-04,1151,SNPP,SNPP,n,2.0NRT,303.08,10.12,D
-15.03578,36.61759,337.7,0.35,0.57,2026-05-04,1151,SNPP,SNPP,n,2.0NRT,299.37,3.21,D
-15.03707,36.61553,343.44,0.35,0.57,2026-05-04,1151,SNPP,SNPP,n,2.0NRT,298.76,4.31,D
-15.28795,34.51101,332.94,0.51,0.49,2026-05-04,1151,SNPP,SNPP,n,2.0NRT,298,3.45,D
-15.26552,30.30589,335.22,0.44,0.39,2026-05-04,1151,SNPP,SNPP,n,2.0NRT,297.93,4.73,D
-15.88896,33.02272,304.58,0.43,0.38,2026-05-04,2301,SNPP,SNPP,n,2.0NRT,293.25,0.66,N
-16.11706,33.75897,307.87,0.4,0.37,2026-05-04,2301,SNPP,SNPP,n,2.0NRT,295.95,1.38,N
-16.12109,33.76215,320.26,0.4,0.37,2026-05-04,2301,SNPP,SNPP,n,2.0NRT,298.71,3.31,N
-16.12512,33.76533,307.37,0.4,0.37,2026-05-04,2301,SNPP,SNPP,n,2.0NRT,297.28,1.14,N
-16.12574,33.76911,307.23,0.4,0.37,2026-05-04,2301,SNPP,SNPP,n,2.0NRT,295.66,1.14,N
-16.13719,33.77484,305.28,0.4,0.37,2026-05-04,2301,SNPP,SNPP,n,2.0NRT,294.02,1.14,N
-16.19419,33.84287,314.81,0.4,0.37,2026-05-04,2301,SNPP,SNPP,n,2.0NRT,297.23,1.91,N
-16.19757,33.84225,306.92,0.4,0.37,2026-05-04,2301,SNPP,SNPP,n,2.0NRT,296.05,1.91,N
-16.20159,33.84541,307.31,0.4,0.37,2026-05-04,2301,SNPP,SNPP,n,2.0NRT,296.07,1.03,N
-19.88585,33.12442,299.28,0.4,0.37,2026-05-04,2301,SNPP,SNPP,n,2.0NRT,288.3,0.53,N
-25.27424,33.12283,308.81,0.38,0.36,2026-05-04,2303,SNPP,SNPP,n,2.0NRT,292.19,0.6,N
-25.27818,33.12601,311.78,0.38,0.36,2026-05-04,2303,SNPP,SNPP,n,2.0NRT,292.31,0.38,N
-25.28151,33.12538,303.85,0.38,0.36,2026-05-04,2303,SNPP,SNPP,n,2.0NRT,292.18,0.38,N
-26.39383,32.65295,309.73,0.38,0.36,2026-05-04,2303,SNPP,SNPP,n,2.0NRT,293.85,0.86,N
-26.74992,32.14933,331.38,0.44,0.38,2026-05-05,1130,SNPP,SNPP,n,2.0NRT,294.69,5.41,D
-26.3602,32.21917,341.4,0.43,0.38,2026-05-05,1130,SNPP,SNPP,n,2.0NRT,298.31,4.68,D
-26.36078,32.2148,336.8,0.43,0.38,2026-05-05,1130,SNPP,SNPP,n,2.0NRT,298.15,4.68,D
-25.98951,32.54759,332.1,0.42,0.38,2026-05-05,1130,SNPP,SNPP,n,2.0NRT,298.75,1.93,D
-17.70184,34.90048,333.8,0.41,0.37,2026-05-05,1132,SNPP,SNPP,l,2.0NRT,304.68,6.17,D
-25.29698,33.131,337.59,0.4,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,299.92,4.03,D
-25.29415,33.12642,331.94,0.4,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,299.82,4.8,D
-25.27314,33.12689,340.59,0.4,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,299.44,3.5,D
-25.00686,33.98082,339.59,0.39,0.36,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,299.06,4.25,D
-25.00351,33.98022,337.58,0.39,0.36,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,299.65,4.25,D
-24.88308,34.22297,337.01,0.38,0.36,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,301.31,4.2,D
-23.73309,35.06987,331.88,0.39,0.36,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,299.9,1.62,D
-23.01035,35.52898,331.6,0.4,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,300.55,2.13,D
-23.00961,35.46876,334.19,0.4,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,298.43,7.34,D
-22.58504,35.4375,333.44,0.4,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,303.29,3.63,D
-22.74255,33.01416,331.9,0.39,0.36,2026-05-05,1132,SNPP,SNPP,l,2.0NRT,303.31,2.71,D
-22.73918,33.01359,336.02,0.39,0.36,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,304.31,2.71,D
-22.28188,35.49745,333.21,0.4,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,302.43,3.71,D
-22.21682,35.46918,342,0.4,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,300.03,12.18,D
-22.21343,35.46854,341.8,0.4,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,301.81,20.77,D
-22.1499,35.27705,342.29,0.4,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,298.19,3.27,D
-22.12937,35.25337,337.95,0.4,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,301.32,3.63,D
-19.91844,34.05681,331.23,0.39,0.36,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,300.7,2.67,D
-19.78545,34.86535,341.68,0.4,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,304.33,5.07,D
-19.9479,33.50386,332.06,0.38,0.36,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,301.74,1.52,D
-19.88017,33.05871,336.76,0.38,0.36,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,302.79,2.15,D
-19.84,33.25542,329.2,0.38,0.36,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,300.45,2.15,D
-19.81726,33.10044,339.25,0.38,0.36,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,301.65,2.87,D
-19.78559,33.15155,335.76,0.38,0.36,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,300.91,3.07,D
-19.78226,33.15099,329.27,0.38,0.36,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,300.85,3.07,D
-19.27809,35.08805,339.49,0.41,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,302.46,3.79,D
-19.25311,34.46164,335.51,0.4,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,303.06,2.94,D
-19.04744,33.84195,332.18,0.39,0.36,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,301.98,4.29,D
-18.67529,34.60419,336.39,0.4,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,305.96,6.56,D
-18.56955,34.92928,331.76,0.41,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,301.16,2.63,D
-18.57373,33.20992,335.3,0.38,0.36,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,304.32,3.2,D
-18.08336,36.07684,332.84,0.45,0.39,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,303.19,4.79,D
-18.08251,35.90924,332.9,0.45,0.39,2026-05-05,1132,SNPP,SNPP,l,2.0NRT,303.35,2.55,D
-18.08177,35.90591,333.03,0.45,0.39,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,303.57,5.05,D
-17.91223,36.79572,335.62,0.49,0.41,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,305.76,4.14,D
-18.2598,34.66811,347.29,0.4,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,302.88,5.04,D
-18.33097,34.02823,332.32,0.39,0.36,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,302.45,2.49,D
-17.99542,34.98458,335.26,0.42,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,306.33,3.47,D
-17.99606,34.98065,338.87,0.41,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,305.33,3.86,D
-17.67318,36.76814,335.09,0.5,0.41,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,303.31,4.48,D
-17.94127,35.01133,331.64,0.42,0.37,2026-05-05,1132,SNPP,SNPP,l,2.0NRT,304.4,2.97,D
-17.86493,35.40539,331,0.43,0.38,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,303.02,1.75,D
-17.90527,35.16394,332.68,0.42,0.38,2026-05-05,1132,SNPP,SNPP,l,2.0NRT,303.4,1.67,D
-17.90594,35.15996,339.23,0.42,0.38,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,305.23,2.99,D
-17.9018,35.16332,337.53,0.42,0.38,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,304.66,3.75,D
-17.88657,35.1688,332.45,0.42,0.38,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,303.96,2.87,D
-17.88723,35.16481,338.93,0.42,0.38,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,306.06,4.01,D
-17.84938,35.03983,345.46,0.42,0.38,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,307.06,9.68,D
-17.85003,35.03588,331.21,0.42,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,305.05,5.28,D
-17.30738,37.89421,331.05,0.38,0.44,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,300.02,1.14,D
-17.26818,37.94996,349.51,0.39,0.44,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,301.16,5.39,D
-17.36756,37.20754,332.53,0.53,0.42,2026-05-05,1132,SNPP,SNPP,l,2.0NRT,303.85,9.21,D
-17.36514,37.17625,338.43,0.53,0.42,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,308.07,12.65,D
-17.15811,38.25461,332.63,0.41,0.45,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,300.49,2.5,D
-17.70257,34.90793,348.53,0.41,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,307.14,7.6,D
-17.70322,34.904,353.85,0.41,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,307.65,8.17,D
-17.70466,34.90501,352.64,0.41,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,307.12,6.17,D
-17.70057,34.90834,347.13,0.42,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,306.54,8.03,D
-17.6943,34.90319,350.06,0.41,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,306.31,7.46,D
-17.69085,34.90258,340.57,0.41,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,304.38,4.3,D
-17.08169,38.07917,338.84,0.4,0.44,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,305.06,3.82,D
-17.61751,34.55793,337.02,0.41,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,304.87,2.43,D
-17.45288,35.29934,330.39,0.43,0.38,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,304.16,1.92,D
-17.43183,35.29556,333.47,0.43,0.38,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,303.58,2.69,D
-17.39386,35.30594,336.82,0.43,0.38,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,304.96,4.73,D
-17.51114,34.52335,346.32,0.41,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,303.91,5.24,D
-17.36146,35.28339,332.18,0.43,0.38,2026-05-05,1132,SNPP,SNPP,l,2.0NRT,305.28,6.33,D
-17.25723,35.72831,333.7,0.45,0.39,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,303.69,1.89,D
-17.4779,34.16643,331.48,0.4,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,304.02,2.17,D
-17.35061,34.84616,335.43,0.42,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,305.48,2.63,D
-17.34717,34.84554,347,0.42,0.37,2026-05-05,1132,SNPP,SNPP,n,2.0NRT,308.03,14.92,D
-17.26814,34.95739,334.36,0.42,0.38,2026-05-05,1134,SNPP,SNPP,n,2.0NRT,305.28,2.72,D
-17.33481,34.4262,330.15,0.4,0.37,2026-05-05,1134,SNPP,SNPP,l,2.0NRT,303.41,2.09,D
-17.12471,35.35969,345.02,0.44,0.38,2026-05-05,1134,SNPP,SNPP,n,2.0NRT,311.78,15.55,D
-17.24016,34.66276,335.91,0.41,0.37,2026-05-05,1134,SNPP,SNPP,n,2.0NRT,303.02,2.36,D
-17.05016,35.37624,339.26,0.44,0.38,2026-05-05,1134,SNPP,SNPP,n,2.0NRT,305.7,10.08,D
-17.05084,35.37215,347.66,0.44,0.38,2026-05-05,1134,SNPP,SNPP,n,2.0NRT,308.45,10.08,D
-17.05153,35.36804,332.01,0.44,0.38,2026-05-05,1134,SNPP,SNPP,l,2.0NRT,304.79,4.12,D
-17.04595,35.37971,332.81,0.44,0.38,2026-05-05,1134,SNPP,SNPP,l,2.0NRT,304.38,2.28,D
-17.04731,35.37151,331.85,0.44,0.38,2026-05-05,1134,SNPP,SNPP,l,2.0NRT,304.56,10.08,D
-17.11153,34.67999,333.83,0.41,0.37,2026-05-05,1134,SNPP,SNPP,n,2.0NRT,305.63,2.03,D
-17.11693,34.47865,333.28,0.41,0.37,2026-05-05,1134,SNPP,SNPP,l,2.0NRT,306.23,1.48,D
-17.05267,34.65782,338.71,0.41,0.37,2026-05-05,1134,SNPP,SNPP,n,2.0NRT,306.35,5.41,D
-17.04923,34.65722,335.06,0.41,0.37,2026-05-05,1134,SNPP,SNPP,n,2.0NRT,304.95,5.41,D
-17.04986,34.65334,350.32,0.41,0.37,2026-05-05,1134,SNPP,SNPP,n,2.0NRT,307.06,6.68,D
-16.81548,35.84074,336.5,0.46,0.39,2026-05-05,1134,SNPP,SNPP,n,2.0NRT,304.45,3.72,D
-17.00971,34.57467,338.55,0.41,0.37,2026-05-05,1134,SNPP,SNPP,n,2.0NRT,306.76,2.49,D
-16.96364,34.80297,331.04,0.42,0.37,2026-05-05,1134,SNPP,SNPP,l,2.0NRT,301.77,3.62,D
-16.96994,34.39344,330.79,0.41,0.37,2026-05-05,1134,SNPP,SNPP,n,2.0NRT,303.4,2.82,D
-16.90454,34.49652,334.32,0.41,0.37,2026-05-05,1134,SNPP,SNPP,n,2.0NRT,306.09,3.04,D
-16.67971,35.31952,333.84,0.44,0.38,2026-05-05,1134,SNPP,SNPP,n,2.0NRT,303.46,6.62,D
-16.6804,35.31541,347.25,0.44,0.38,2026-05-05,1134,SNPP,SNPP,n,2.0NRT,308.72,6.62,D
-16.82889,34.42008,334.26,0.41,0.37,2026-05-05,1134,SNPP,SNPP,l,2.0NRT,304.8,3.68,D
-16.86948,34.08401,331.79,0.4,0.37,2026-05-05,1134,SNPP,SNPP,n,2.0NRT,302.24,2.06,D
